ID_INSTITUTO,NOMBRE,DIRECCION,CODPOSTAL,ID_PAQUETE
334,Laude El Altillo School,"C/ Santiago de Chile, s/n",11407,1
335,Huerta del Rosario,"Callej de los Frailes, s/n",11130,2
336,La Bahía,"Avda. Constitución, s/n",11100,3
337,Santa Isabel de Hungría,"C/ La Merced, 40",11404,1
338,Drago,"C/ Marianista Cubillo, 15",11008,2
339,Pedro Sáinz de Andino,"Paseo de la Playa, 19",11180,3
340,Ciudad de Hércules,"C/ Cuba, 2",11130,1
341,Profesor Antonio Muro,"C/ Séneca, s/n",11510,2
342,José Luis Tejada Peluffo,"Avda. Guardia Civil, 1",11500,3
343,Carlos III,"C/ Casimiro de Angulo, 19",11660,1
344,Sierra Luna,"Avda. de Doña Rosa García, 8",11370,2
345,Almadraba,"C/ Diego Piñero Moreno, 1",11380,3
346,Pintor Juan Lara,"Cmo. del Águila, 6",11500,1
347,Juan Sebastián Elcano,"Plaza Escritor Eduardo Mendicuti, s/n",11540,2
348,San Severiano,"Avda. San Severiano, 8",11007,3
349,La Jarcia,"C/ Ribera del Muelle, s/n",11510,1
350,Seritium,"Avda. Amsterdam, s/n",11406,2
351,La Salle-Viña,C/ Martínez Campos 4,11002,3
352,La Arboleda,"Avda. Padre Ellacuría, 13",11500,1
353,Las Banderas,"Ctra. Sanlúcar, Km. 2,5",11500,2
354,Maestro Francisco Fatou,"C/ Menéndez Pidal, 1",11600,3
355,Botánico,"Avda. Pozo de las Vacas, s/n. Finca El Jardín Botánico",11540,1
356,La Pedrera Blanca,"Callej de la Pedrera, s/n",11130,2
357,Guadalpeña,"C/ Francia, s/n",11630,3
358,Vicente Aleixandre,"Bda. El Pinar, s/n",11160,1
359,Villa de Setenil,"C/ María Zambrano, 2",11692,2
360,Federico García Lorca,"C/ Fernando de Herrera, s/n",11207,3
361,San Telmo,"Bda. San Telmo, s/n",11408,1
362,Sofía,"C/ Doctor Marañón, 13",11407,2
363,Antonio Machado,"C/ Blanca de los Ríos, 87",11300,3
364,San Lucas,"Avda. Bajo de Guía, 2",11540,1
365,Profesor Andrés Bojollo,"Avda. de Europa, s/n",14500,2
366,Fray Albino,"C/ Fray Albino, 2",14439,3
367,Doña María Coronel,"C/ El Tejar, 14",14920,1
368,Carmen Romero,"Ctra. Puente Genil, s/n",14920,2
369,Jesús Nazareno,"C/ Moralejo, 19",14920,3
370,Rodríguez Vega,"Paseo de Las Moreras, s/n",14812,1
